,,Temperature,Temperature,Temperature,Rainfall,Rainfall,Rainfall,Heatwaves,Heatwaves,Heatwaves,Coldwaves,Coldwaves,Coldwaves,Extreme rainfall,Extreme rainfall,Extreme rainfall
,,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.
Country,Settlement,,,,,,,,,,,,,,,
Bangladesh,Camp,24.02307968411405,25.009845934875006,0.9867662507609545,5.8919110042027265,6.773384688949998,0.8814736847472711,1.5600373569080492,1.3626139304741378,-0.19742342643391142,1.6177264677571022,1.2875455107731093,-0.33018095698399286,1.6177264677571022,1.2875455107731093,-0.33018095698399286
Jordan,Camp,17.433442326569228,17.026486984943748,-0.40695534162547986,0.5397217407960537,0.3699069687624999,-0.16981477203355383,0.8584810289198688,1.0346716255948276,0.17619059667495884,1.1194221948320788,0.9075797621008405,-0.21184243273123837,1.1194221948320788,0.9075797621008405,-0.21184243273123837
Rwanda,Camp,18.28758876904961,21.014111667270836,2.7265228982212264,4.049444637368492,3.263922893727085,-0.7855217436414064,0.2038498434179863,0.7052445496551725,0.5013947062371862,0.13582402563303347,0.10050041224369748,-0.035323613389336,0.13582402563303347,0.10050041224369748,-0.035323613389336
Ethiopia,Nguenyyiel Camp,18.550510334371705,27.10945389041667,8.558943556044966,4.41482103886459,3.0519339836437482,-1.3628870552208414,1.2854975489376819,0.6539408866810345,-0.6315566622566474,0.8007574459261996,0.23889555821848737,-0.5618618877077122,0.8007574459261996,0.23889555821848737,-0.5618618877077122
Ethiopia,Dolo Ado Camp,18.550510334371705,27.519598887666646,8.969088553294942,4.41482103886459,1.0203891333895831,-3.3944319054750065,1.2854975489376819,1.2272167487672414,-0.05828080017044046,0.8007574459261996,1.0978391356386554,0.29708168971245585,0.8007574459261996,1.0978391356386554,0.29708168971245585
Kenya,Dadaab Camp,20.187141985907708,27.730877405791652,7.543735419883944,3.555320080946096,0.9722949580885422,-2.583025122857554,1.1997876204761126,0.8099137931034485,-0.3898738273726642,0.3077654051986612,1.1550420168067226,0.8472766116080614,0.3077654051986612,1.1550420168067226,0.8472766116080614
Kenya,Kakuma Camp,20.187141985907708,27.9533544551875,7.766212469279793,3.555320080946096,1.4159449596020826,-2.1393751213440133,1.1997876204761126,2.3900862068965516,1.190298586420439,0.3077654051986612,0.6113445378151261,0.3035791326164649,0.3077654051986612,0.6113445378151261,0.3035791326164649
Pakistan,Khyber Pakhtunkhwa Camp,22.717867482567158,21.105236087702085,-1.6126313948650726,1.5779109782526746,2.3070643859104165,0.729153407657742,1.1721972313103173,1.3154634628965518,0.14326623158623453,1.8302778337832446,0.8148518615966385,-1.0154259721866061,1.8302778337832446,0.8148518615966385,-1.0154259721866061
